id,Pageviews,Unique Pageviews,Avg. Time on Screen
a0640000002jYXDAA2,21,13,0
a0640000002jYXFAA2,96,73,0
a0640000002jYXfAAM,165,103,0
a0640000002jYXGAA2,181,153,0
a0640000002jYXgAAM,132,88,0
a0640000002jYXHAA2,97,64,0
a0640000002jYXhAAM,62,40,0
a0640000002jYXIAA2,494,228,0
a0640000002jYXJAA2,11,5,0
a0640000002jYXjAAM,16,14,0
a0640000002jYXKAA2,,,
a0640000002jYXkAAM,17,17,0
a0640000002jYXLAA2,811,351,0
a0640000002jYXlAAM,,,
a0640000002jYXMAA2,132,99,0
a0640000002jYXmAAM,46,34,0
a0640000002jYXPAA2,657,493,0
a0640000002jYXQAA2,138,114,0
a0640000002jYXqAAM,50,41,0
a0640000002jYXrAAM,,,
a0640000002jYXSAA2,73,45,0
a0640000002jYXTAA2,5,3,0
a0640000002jYXtAAM,4712,2113,0
a0640000002jYXVAA2,559,225,0
a0640000002jYXvAAM,28,24,0
a0640000002jYXXAA2,1388,633,0
a0640000002jYXYAA2,38,31,0
a0640000002jYXZAA2,98,89,0
a0640000002jYY1AAM,37,32,0
a0640000002jYY2AAM,183,160,0
a0640000002jYY3AAM,,,
a0640000002jYY4AAM,,,
a0640000002jYY7AAM,264,238,0
a0640000002jYY9AAM,283,151,0
a0640000002jYYAAA2,,,
a0640000002jYYaAAM,135,125,0
a0640000002jYYcAAM,16,15,0
a0640000002jYYDAA2,,,
a0640000002jYYdAAM,50,43,0
a0640000002jYYEAA2,108,58,0
a0640000002jYYGAA2,,,
a0640000002jYYHAA2,46,43,0
a0640000002jYYhAAM,322,166,0
a0640000002jYYIAA2,719,316,0
a0640000002jYYJAA2,984,811,0
a0640000002jYYjAAM,18,14,0
a0640000002jYYkAAM,67,56,0
a0640000002jYYLAA2,19,19,0
a0640000002jYYNAA2,31,27,0
a0640000002jYYnAAM,,,
a0640000002jYYOAA2,172,83,0
a0640000002jYYoAAM,,,
a0640000002jYYPAA2,283,126,0
a0640000002jYYpAAM,1530,697,0
a0640000002jYYQAA2,,,
a0640000002jYYqAAM,,,
a0640000002jYYsAAM,23,19,0
a0640000002jYYTAA2,25,19,0
a0640000002jYYtAAM,196,90,0
a0640000002jYYuAAM,21,20,0
a0640000002jYYvAAM,377,325,0
a0640000002jYYWAA2,33,29,0
a0640000002jYYwAAM,31,27,0
a0640000002jYYXAA2,282,220,0
a0640000002jYYxAAM,132,118,0
a0640000002jYYYAA2,62,49,0
a0640000002jYYyAAM,,,
a0640000002jYYZAA2,11,10,0
a0640000002jYZ1AAM,1921,1068,0
a0640000002jYZ4AAM,124,57,0
a0640000002jYZ7AAM,59,52,0
a0640000002jYZ8AAM,71,61,0
a0640000002jYZAAA2,,,
a0640000002jYZaAAM,17,13,0
a0640000002jYZCAA2,,,
a0640000002jYZDAA2,77,54,0
a0640000002jYZEAA2,523,250,0
a0640000002jYZGAA2,1011,470,0
a0640000002jYZHAA2,26,24,0
a0640000002jYZIAA2,37,31,0
a0640000002jYZJAA2,676,349,0
a0640000002jYZKAA2,106,94,0
a0640000002jYZLAA2,10,8,0
a0640000002jYZMAA2,6,6,0
a0640000002jYZNAA2,45,42,0
a0640000002jYZOAA2,14,7,0
a0640000002jYZPAA2,27,22,0
a0640000002jYZSAA2,,,
a0640000002jYZTAA2,39,36,0
a0640000002jYZUAA2,14,12,0
a0640000002jYZVAA2,132,99,0
a0640000002jYZWAA2,12,11,0
a0640000002jYZXAA2,,,
a0640000002jYZYAA2,7,5,0
a0640000002jYZZAA2,38,35,0
a0640000002kdpMAAQ,17,14,0
a0640000002kdq3AAA,,,
a0640000002kdq4AAA,,,
a0640000002kdq8AAA,6,5,0
a0640000002ke7uAAA,,,
a0640000002ke7zAAA,108,100,0
a0640000002ke9fAAA,41,38,0
a0640000002ke9kAAA,,,
a0640000002ke9pAAA,,,
a0640000002ke9qAAA,,,
a0640000002ke9uAAA,,,
a0640000002ke9vAAA,,,
a0640000002keA4AAI,,,
a0640000002keAdAAI,6,5,0
a0640000002keAEAAY,,,
a0640000002keAiAAI,,,
a0640000002keAJAAY,14,13,0
a0640000002keAKAAY,5,5,0
a0640000002keALAAY,,,
a0640000002keATAAY,,,
a0640000002keAYAAY,,,
a0640000002kwVPAAY,,,
a0640000002l75jAAA,5,2,0
a0640000003ld1jAAA,,,
a0640000003ld1kAAA,71,34,0
a0640000003ld1lAAA,,,
a0640000003ld1QAAQ,33,30,0
a0640000003ld37AAA,,,
a0640000003mfI0AAI,8,8,0
a0640000003naVbAAI,14,12,0
a0640000003naVgAAI,85,41,0
a0640000003pLm7AAE,259,235,0
a0640000003R7IaAAK,21,19,0
a0640000003R7MrAAK,38,27,0
a0640000003R7MsAAK,8,7,0
a0640000003R7MtAAK,,,
a0640000003R7N3AAK,8,5,0
a0640000003R7N4AAK,4,3,0
a0640000003R7N5AAK,,,
a0640000003R7N8AAK,6,3,0
a0640000003R7NDAA0,14,10,0
a0640000003R7NIAA0,,,
a0640000003R90WAAS,12,10,0
a0640000003RbUxAAK,35,21,0
a0640000003RdYvAAK,41,32,0
a0640000003RdZ5AAK,97,75,0
a0640000003SfMoAAK,,,
a0640000003SfN3AAK,,,
a0640000003Sft2AAC,,,
a0640000003sxBGAAY,,,
a0640000003sxBHAAY,5,4,0
a0640000003sxBLAAY,5,3,0
a0640000003sxBQAAY,,,
a0640000003sxBRAAY,47,42,0
a0640000003sxKhAAI,142,105,0
a0640000003yWWdAAM,6,4,0
a06400000046LwGAAU,125,104,0
a0640000004eGodAAE,34,27,0
a0640000004eGoeAAE,24,21,0
a0640000004eGoxAAE,22,22,0
a0640000004eI4FAAU,,,
a0640000004eI5EAAU,56,49,0
a0640000004h7u5AAA,,,
a0640000004h86dAAA,,,
a0640000004h87DAAQ,7,7,0
a0640000004jzJNAAY,6,6,0
a0640000004jzJXAAY,9,8,0
a0640000004jzKlAAI,23,19,0
a0640000004jzKmAAI,25,20,0
a0640000004ktR0AAI,99,56,0
a0640000004ktRUAAY,,,
a0640000005pDdSAAU,,,
a0640000005pDe8AAE,87,75,0
a0640000006AchwAAC,,,
a0640000006AchxAAC,8,3,0
a0640000006EDmnAAG,171,142,0
a0640000006EDuFAAW,,,
a0640000006eNAnAAM,,,
a0640000006IcunAAC,308,262,0
a0640000006jJx2AAE,6,6,0
a0640000006L8w5AAC,,,
a0640000006L8wAAAS,,,
a0640000006LCgpAAG,269,242,0
a0640000006M2qLAAS,,,
a0640000006PFEiAAO,56,34,0
a0640000006qRwoAAE,,,
a06400000076KynAAE,11,10,0
a06400000077E36AAE,,,
a0640000007aEiSAAU,441,344,0
a0640000007M55eAAC,,,
a0640000007M55fAAC,,,
a0640000007M55gAAC,97,43,0
a0640000007M55jAAC,825,301,0
a0640000007M55oAAC,,,
a0640000007M55PAAS,17,12,0
a0640000007M55ZAAS,,,
a0640000007PulgAAC,,,
a0640000007V2ZaAAK,84,74,0
a0640000008joayAAA,70,36,0
a0640000008joazAAA,14,9,0
a0640000008job0AAA,6,4,0
a0640000008jonYAAQ,,,
a0640000008jooPAAQ,30,15,0
a0640000008jopvAAA,48,20,0
a0640000008jopwAAA,56,22,0
a0640000008joqAAAQ,30,13,0
a0640000008joqpAAA,44,14,0
a0640000008joqqAAA,57,15,0
a0640000008lcRiAAI,,,
a0640000008YwmBAAS,12,9,0
a0640000008YwmLAAS,,,
a0640000009CIXhAAO,126,113,0
a0640000009CIYAAA4,26,26,0
a0640000009CIZEAA4,10,9,0
a0640000009DE1YAAW,,,
a0640000009MkzrAAC,39,30,0
a0640000009OfTIAA0,8,8,0
a0640000009RUM2AAO,,,
a064000000AHHYwAAP,422,380,0
a064000000AYXLUAA5,32,12,0
a064000000AYXygAAH,,,
a064000000AYY3jAAH,,,
a064000000Bgwk8AAB,,,
a064000000C24wcAAB,,,
a064000000CMV2KAAX,12,9,0
a064000000cqTcEAAU,24,14,0
a064000000cqTfcAAE,,,
a064000000cqTfhAAE,,,
a064000000cr1obAAA,23,12,0
a064000000cr1ogAAA,8,4,0
a064000000cr1oWAAQ,45,18,0
